,x,y
0,51.814502139633355,98.84707328307198
1,51.241180960450485,97.13728508140565
2,44.19009192002234,92.6776295408968
3,44.88434078953111,91.96230777806876
4,40.33997552787387,86.95403503527471
5,37.380170510240646,84.21081588825838
6,34.8322173796822,81.35351430898176
7,30.893312288967454,78.51005173627188
8,28.82503597627661,75.62010350775212
9,23.8307464608824,72.65348422927751
10,22.844377836495713,70.37802811403918
11,25.77582537355558,55.61910942912217
12,26.554604304867166,54.167608057791526
13,28.149695714643055,57.89599089413308
14,20.37454334243941,49.94542257180514
15,28.22879302800321,54.12769863630318
16,26.453828244068422,53.542884819350355
17,29.984277669176105,56.41698637601766
18,42.82126109314289,46.21541751879396
19,46.35911152745318,50.265679452701356
20,48.17321800227596,52.28640552703931
21,52.15789957664537,55.8817705518667
22,51.558327442771095,53.92399961136366
23,60.617996852623186,57.35516598130802
24,60.36147278353638,62.782079583817264
25,60.29589480881153,59.71914298672775
26,65.05490174238926,68.8086594218469
27,65.14609228505093,65.578918142328
28,57.258914737366254,55.18640468424379
29,54.87499013503974,51.76827371307789
30,52.59370042154399,50.62046045497135
31,45.90218771213373,42.32057620206048
32,45.154457338575604,48.127108612999685
33,48.866465241038455,47.6404511753263
34,42.87040580279505,41.73267096007535
35,36.86202176284174,38.79390625531587
36,36.06317119842462,35.157699864428764
37,33.53401867026444,30.736682879109132
38,31.13487043052941,34.54024761360365
39,30.558413466232512,33.07167164773011
40,36.82936966546509,38.649040098918746
41,42.703903643819025,39.971829997156654
42,40.674802895064246,43.91021011995139
43,31.885624524862724,34.3089929717831
44,30.282055971420924,32.29167910274533
45,31.490344177024507,32.23659074635059
46,28.45652997731293,30.152607675489236
47,29.49162201109964,28.264511034160044
48,47.69890849735372,21.026924145443466
49,47.595712993556525,21.58387743344528
50,49.84330492282811,23.562274681292156
51,54.00635966424622,26.855802413504232
52,58.234466773974006,31.145687583349485
53,58.79719611260309,32.303526153925056
54,45.91228545292619,46.26277389780031
55,43.720751326685814,46.17739058988989
56,54.084851963415346,51.190058957102174
57,69.25867186360253,42.46587009049839
58,69.70481777361873,42.26843099492977
59,74.01656466416141,45.09660650408627
60,76.28003492088925,48.44262200651553
61,66.49109476332279,67.06896128414141
62,71.14004394944124,67.66054315818182
63,66.36714145868105,70.17638580739857
64,47.50681964472654,79.75476024642823
65,47.610019129326474,79.16237909797125
66,51.72943139446238,82.28612986500822
67,55.308347085263705,81.56242384256524
68,58.18370272038672,85.12677555207786
69,57.498141315334514,87.08247042873249
70,54.78019270948727,84.18849077842006
71,53.69182699258975,80.6380306789941
72,50.39823407563539,80.84468942486608
73,50.949388523795406,76.91160750964205
74,49.979935094976085,76.39020974524517
75,29.988548445851798,58.87817786985127
76,30.868925102439754,61.99807930963421
77,34.91637096727267,61.738486657405446
78,51.95607641956128,98.51671063491148
79,67.37864934473468,99.79303551474219
80,63.473198023853755,94.07702778489933
81,64.58258519027692,92.52212205175248
82,66.57093261690598,92.88881694926744
83,77.28543630826444,80.39150880907043
84,77.24767948645012,80.22441491018246
85,76.66658154154855,79.00563065396167
86,77.29052587154946,77.32803216221448
87,75.8805151435715,72.33398287041186
88,74.27291560542878,73.67329604330143
89,83.4576958031027,56.738051065196025
90,87.48113889334736,60.922652054799585
91,83.78213231849784,51.00280489106733
92,82.44174562685635,52.79964264882652
93,88.92093435961678,38.64124565961637
94,89.00490433116543,42.6037292079911
95,92.83718895599367,42.74693020271727
96,88.51067897026493,40.501974816135125
97,89.51937070380656,38.36078146279909
98,62.41750756564418,33.56583334170658
99,59.87353101260828,33.29070479754816
